26	20	0.0
1	1	1.0
1	9	-1.0
2	2	1.0
2	10	-1.0
3	3	1.0
3	9	-1.0
4	4	1.0
4	10	-1.0
5	5	1.0
5	9	-1.0
6	6	1.0
6	10	-1.0
7	7	1.0
7	9	-1.0
8	8	1.0
8	10	-1.0
9	11	-1.0
9	13	1.0
9	15	1.0
9	17	1.0
9	19	1.0
10	12	-1.0
10	14	1.0
10	16	1.0
10	18	1.0
10	20	1.0
11	1	1.0
11	13	-1.0
12	2	1.0
12	14	-1.0
13	3	1.0
13	13	-1.0
14	4	1.0
14	14	-1.0
15	1	1.0
15	15	-1.0
16	2	1.0
16	16	-1.0
17	3	1.0
17	15	-1.0
18	4	1.0
18	16	-1.0
19	5	1.0
19	17	-1.0
20	6	1.0
20	18	-1.0
21	7	1.0
21	17	-1.0
22	8	1.0
22	18	-1.0
23	5	1.0
23	19	-1.0
24	6	1.0
24	20	-1.0
25	7	1.0
25	19	-1.0
26	8	1.0
26	20	-1.0
